CM code,TM/CP code,Client Code,Minimum Margins (a),Cash allocated (b),Cash-Others (c),Non-cash Securities (d),Short allocation Max [a-(b+c+d)
90179,90179,3101124,0,156432.18,0,0,0
90179,90179,3101378,0,700000,0,186774,0
90179,90179,4100064,0,1935299.97,0,0,0
90179,90179,3101343,125552.3,400000,0,0,0
90179,90179,3100875,0,592041.86,0,0,0
90179,90179,3101091,80364.83,37409.83,0,0,42955
90179,90179,3100217,0,1162251.49,0,0,0
90179,90179,3101195,0,136263.25,0,0,0
90179,90179,3101025,0,1051.93,0,0,0
90179,90179,3101495,0,2083771.75,0,0,0
90179,90179,3100794,0,11491.31,0,0,0
90179,90179,3100757,0,1187113.14,0,0,0
90179,90179,4200058,298385.18,2493591.43,0,0,0
90179,90179,3101325,76512.99,871071.42,0,0,0
90179,90179,3100534,0,0,0,1658813.52,0
90179,90179,3100941,0,40379.88,0,563336.39,0
90179,90179,3100772,65175,315983.15,0,0,0
90179,90179,3100253,0,0,0,192249.79,0
90179,90179,4100007,199071.82,133408.18,0,0,65663.64
90179,90179,3100519,0,97844.23,0,0,0
90179,90179,3101334,0,410733.56,0,0,0
90179,90179,3100031,0,1225.9,0,0,0
90179,90179,3101674,0,200000,0,0,0
90179,90179,3101258,0,89240.53,0,0,0
90179,90179,4200114,0,0,0,1194581.88,0
90179,90179,3100660,186184.17,253985.74,0,0,0
90179,90179,3100626,0,123079.7,0,0,0
90179,90179,3101276,30191.14,305265.02,0,0,0
90179,90179,3101066,127409.06,820748.62,0,479418.92,0
90179,90179,3101540,82840,204749.19,0,0,0
90179,90179,3100618,509834.68,6442.79,0,0,503391.89
